CATEGORIE;INDICATEUR;VALEUR;UNITE
Config;Seed;42;
Config;UtiliserSeedFixe;1;bool
Global;DureeTotaleSecondes;122.50;s
Global;DureeTotaleFormatee;02m:02s;mm:ss
Global;ClientsTraites;30;clients
Global;ClientsCibles;30;clients
Global;TauxCompletion;100.0;%
Global;VolumeVentes;299;articles
Parcours;TauxRepassageGlobal;236.7;%
Parcours;TotalRepassages;71;retours
Parcours;IndiceDetour;1.398;ratio
Parcours;DistanceTotaleParcourue;3679.88;m
Parcours;DistanceTotaleOptimale;2632.15;m
Parcours;ZoneConfusePire;arme;zone
Parcours;ZoneConfusePireRetours;26;retours
Parcours;ArticlesParMetre;0.0813;articles/m
Achat;TotalAchatsImpulsifs;36;articles
Achat;TauxImpulsif;12.0;%
Conversion;alcool_Visites;32;visites
Conversion;alcool_Achats;26;achats
Conversion;alcool_Taux;81.3;%
Conversion;arme_Visites;108;visites
Conversion;arme_Achats;106;achats
Conversion;arme_Taux;98.1;%
Conversion;chips_Visites;32;visites
Conversion;chips_Achats;24;achats
Conversion;chips_Taux;75.0;%
Conversion;lait_Visites;48;visites
Conversion;lait_Achats;44;achats
Conversion;lait_Taux;91.7;%
Conversion;pain_Visites;19;visites
Conversion;pain_Achats;14;achats
Conversion;pain_Taux;73.7;%
Conversion;soft_Visites;33;visites
Conversion;soft_Achats;26;achats
Conversion;soft_Taux;78.8;%
Conversion;viande_Visites;66;visites
Conversion;viande_Achats;59;achats
Conversion;viande_Taux;89.4;%
Records;VisitePlusLongueSecondes;107.92;s
Records;VisitePlusLongueFormatee;01m:47s;mm:ss
Records;DernierClientInfo;Profil [Pressé] | Durée: 01m:12s;texte
Records;DernierClientRaison;Gros acheteur (29 articles);texte
Layout;DensiteAchat;0.0813;articles/m
Layout;IndiceFrustrationAttente;11.3;%
Layout;DistanceMoyenne;122.66;m
Performance;PanierMoyen;9.97;articles/client
Performance;DebitClients;14.69;clients/min
Caisses;AttenteMoyenneSecondes;5.25;s
Caisses;AttenteMoyenneFormatee;00m:05s;mm:ss
Caisses;Saturations;15;fois
VentesParZone;alcool;26;ventes
VentesParZone;arme;106;ventes
VentesParZone;chips;24;ventes
VentesParZone;lait;44;ventes
VentesParZone;pain;14;ventes
VentesParZone;soft;26;ventes
VentesParZone;viande;59;ventes
Top3;#1_Zone;arme;zone
Top3;#1_Ventes;106;ventes
Top3;#2_Zone;viande;zone
Top3;#2_Ventes;59;ventes
Top3;#3_Zone;lait;zone
Top3;#3_Ventes;44;ventes
Flop3;#1_Zone;pain;zone
Flop3;#1_Ventes;14;ventes
Flop3;#2_Zone;chips;zone
Flop3;#2_Ventes;24;ventes
Flop3;#3_Zone;alcool;zone
Flop3;#3_Ventes;26;ventes
Profils;Organises_Nb;11;clients
Profils;Impulsifs_Nb;5;clients
Profils;Presses_Nb;6;clients
Profils;Organises_Pct;36.7;%
Profils;Impulsifs_Pct;16.7;%
Profils;Presses_Pct;20.0;%
Profils;Organises_DistanceMoy;97.31;m
Profils;Impulsifs_DistanceMoy;182.82;m
Profils;Presses_DistanceMoy;168.34;m
Temps;TempsTotalShopping;1398.45;s
Temps;TempsTotalAttenteCaisse;157.65;s
Temps;TempsMoyenShoppingParClient;46.62;s
