CATEGORIE;INDICATEUR;VALEUR;UNITE
Config;Seed;42;
Config;UtiliserSeedFixe;1;bool
Global;DureeTotaleSecondes;128.64;s
Global;DureeTotaleFormatee;02m:08s;mm:ss
Global;ClientsTraites;30;clients
Global;ClientsCibles;30;clients
Global;TauxCompletion;100.0;%
Global;VolumeVentes;287;articles
Parcours;TauxRepassageGlobal;210.0;%
Parcours;TotalRepassages;63;retours
Parcours;IndiceDetour;1.171;ratio
Parcours;DistanceTotaleParcourue;3445.84;m
Parcours;DistanceTotaleOptimale;2942.10;m
Parcours;ZoneConfusePire;arme;zone
Parcours;ZoneConfusePireRetours;30;retours
Parcours;ArticlesParMetre;0.0833;articles/m
Achat;TotalAchatsImpulsifs;32;articles
Achat;TauxImpulsif;11.1;%
Conversion;alcool_Visites;36;visites
Conversion;alcool_Achats;33;achats
Conversion;alcool_Taux;91.7;%
Conversion;arme_Visites;105;visites
Conversion;arme_Achats;104;achats
Conversion;arme_Taux;99.0;%
Conversion;chips_Visites;28;visites
Conversion;chips_Achats;23;achats
Conversion;chips_Taux;82.1;%
Conversion;lait_Visites;37;visites
Conversion;lait_Achats;36;achats
Conversion;lait_Taux;97.3;%
Conversion;pain_Visites;20;visites
Conversion;pain_Achats;18;achats
Conversion;pain_Taux;90.0;%
Conversion;soft_Visites;35;visites
Conversion;soft_Achats;28;achats
Conversion;soft_Taux;80.0;%
Conversion;viande_Visites;49;visites
Conversion;viande_Achats;45;achats
Conversion;viande_Taux;91.8;%
Records;VisitePlusLongueSecondes;91.28;s
Records;VisitePlusLongueFormatee;01m:31s;mm:ss
Records;DernierClientInfo;Profil [Organisé] | Durée: 01m:17s;texte
Records;DernierClientRaison;Gros acheteur (15 articles);texte
Layout;DensiteAchat;0.0833;articles/m
Layout;IndiceFrustrationAttente;16.3;%
Layout;DistanceMoyenne;114.86;m
Performance;PanierMoyen;9.57;articles/client
Performance;DebitClients;13.99;clients/min
Caisses;AttenteMoyenneSecondes;7.65;s
Caisses;AttenteMoyenneFormatee;00m:07s;mm:ss
Caisses;Saturations;24;fois
VentesParZone;alcool;33;ventes
VentesParZone;arme;104;ventes
VentesParZone;chips;23;ventes
VentesParZone;lait;36;ventes
VentesParZone;pain;18;ventes
VentesParZone;soft;28;ventes
VentesParZone;viande;45;ventes
Top3;#1_Zone;arme;zone
Top3;#1_Ventes;104;ventes
Top3;#2_Zone;viande;zone
Top3;#2_Ventes;45;ventes
Top3;#3_Zone;lait;zone
Top3;#3_Ventes;36;ventes
Flop3;#1_Zone;pain;zone
Flop3;#1_Ventes;18;ventes
Flop3;#2_Zone;chips;zone
Flop3;#2_Ventes;23;ventes
Flop3;#3_Zone;soft;zone
Flop3;#3_Ventes;28;ventes
Profils;Organises_Nb;15;clients
Profils;Impulsifs_Nb;9;clients
Profils;Presses_Nb;6;clients
Profils;Organises_Pct;50.0;%
Profils;Impulsifs_Pct;30.0;%
Profils;Presses_Pct;20.0;%
Profils;Organises_DistanceMoy;100.62;m
Profils;Impulsifs_DistanceMoy;116.05;m
Profils;Presses_DistanceMoy;100.60;m
Temps;TempsTotalShopping;1409.51;s
Temps;TempsTotalAttenteCaisse;229.61;s
Temps;TempsMoyenShoppingParClient;46.98;s
